Time (ms) - Plot 0;Voltaje (V) - Plot 0
303;10,6909
304;10,6909
305;10,6909
306;10,6909
307;10,6909
308;10,6909
309;10,6909
310;10,6909
311;10,5636
312;9,31311
313;8,12412
314;7,1193
315;6,34715
316;5,81467
317;5,47798
318;5,32101
319;5,18987
320;5,13553
321;5,14384
322;5,40846
323;6,11104
324;7,32991
325;8,81666
326;10,4858
327;10,6909
328;10,6909
329;10,6909
330;10,6909
331;10,6909
332;10,6909
333;9,90245
334;7,8389
335;6,82473
336;6,07135
337;5,55768
338;5,24555
339;5,02818
340;4,82255
341;4,66013
342;4,44041
343;4,12472
344;3,74633
345;3,50207
346;3,41694
347;3,40156
348;3,51176
349;3,77898
350;4,30644
351;5,39388
352;6,26533
353;7,01534
354;7,95313
355;9,36805
356;10,6909
357;10,6909
358;10,6909
359;10,6909
360;10,6909
361;10,4452
362;7,27981
363;6,0043
364;5,30395
365;4,84807
366;4,3497
367;3,95344
368;3,72639
369;3,66513
370;3,84544
371;4,97754
372;6,47024
373;7,23629
374;8,26667
375;9,02333
376;9,11312
377;9,11872
378;9,1192
379;9,12071
380;9,12305
381;9,12328
382;9,36341
383;10,6205
384;10,6909
385;10,6909
386;10,6909
387;10,6093
388;7,41976
389;5,83376
390;4,91039
391;4,37073
392;4,08926
393;3,90327
394;3,62874
395;3,5622
396;3,68806
397;4,39004
398;5,39048
399;6,20189
400;6,82423
401;7,8393
402;9,75771
